행정시명,업체명,소재지,신고일자,데이터기준일자
제주시,24시동물병원,제주특별자치도 제주시 연삼로 353 (도남동),2003-11-08,2024-02-27
제주시,24시똑똑똑 동물메디컬센터,제주특별자치도 제주시 도령로 129 (연동),2018-03-30,2024-02-27
제주시,KRA 렛츠런파크제주 동물병원,제주특별자치도 제주시 애월읍 평화로 2144 한국마사회제주경마본부,2008-10-08,2024-02-27
제주시,강남동물병원,제주특별자치도 제주시 중앙로 106 (삼도이동),2003-12-05,2024-02-27
제주시,교래 말 전문병원,제주특별자치도 제주시 구좌읍 세화경마루길 14-14,2003-05-12,2024-02-27
제주시,국립축산과학원 난지축산연구소 동물병원,제주특별자치도 제주시 산록북로 593-40 제17호 건물 (오등동),2017-04-17,2024-02-27
제주시,굿데이 동물병원,제주특별자치도 제주시 한림읍 금악동길 220-9,2018-04-04,2024-02-27
제주시,나아라 동물병원,제주특별자치도 제주시 중앙로 536 (아라일동),2015-09-10,2024-02-27
제주시,나음동물병원,제주특별자치도 제주시 연북로 18 노형이타스 2 (노형동),2017-06-21,2024-02-27
제주시,노형 꿈 동물병원,제주특별자치도 제주시 월광로 32 (노형동),2021-12-03,2024-02-27
제주시,노형동물병원,제주특별자치도 제주시 1100로 3213-27 (노형동 천마에코피아2차),2015-12-22,2024-02-27
제주시,다나동물병원,제주특별자치도 제주시 동광로 119 (일도이동),1998-05-14,2024-02-27
제주시,동물병원 퍼피하우스,제주특별자치도 제주시 용담로17길 12 (용담일동),2009-03-20,2024-02-27
제주시,동심동물병원,제주특별자치도 제주시 노연로 141 (연동),1994-06-11,2024-02-27
제주시,라이프동물병원,제주특별자치도 제주시 노형3길 21-1 (노형동),2018-12-29,2024-02-27
제주시,로얄말전문병원,제주특별자치도 제주시 조천읍 비자림로 970-17,2014-11-27,2024-02-27
제주시,리더스동물병원,제주특별자치도 제주시 노연로 131 두성빌딩 (연동),2012-08-23,2024-02-27
제주시,마리네 동물병원,제주특별자치도 제주시 애월읍 광상로 323-20,2016-08-31,2024-02-27
제주시,마야동물병원,제주특별자치도 제주시 조천읍 남조로 1760,2014-03-13,2024-02-27
제주시,마음동물병원,제주특별자치도 제주시 조공포길 27 (외도일동),2021-10-21,2024-02-27
제주시,백록동물병원,제주특별자치도 제주시 우령서로 89 (외도일동 해마루풍경),2013-10-18,2024-02-27
제주시,봄이든 동물병원,제주특별자치도 제주시 애월읍 일주서로 7143,2014-12-26,2024-02-27
제주시,브이동물메디컬센터,제주특별자치도 제주시 노형14길 14 1층 (노형동),2020-11-20,2024-02-27
제주시,사랑동물병원,제주특별자치도 제주시 애월읍 일주서로 6254-3 1층,2021-12-23,2024-02-27
제주시,삼화동물병원,제주특별자치도 제주시 건주로4길 28 1층 (도련일동),2022-02-10,2024-02-27
제주시,삼화 우수한동물병원,제주특별자치도 제주시 건주로 65 삼광빌딩 (도련일동),2018-03-05,2024-02-27
제주시,삼화 훈 동물병원,제주특별자치도 제주시 동화로 12 1층 (화북일동),2019-05-02,2024-02-27
제주시,서사라동물병원,제주특별자치도 제주시 서사로 148-1 (삼도일동),2006-04-10,2024-02-27
제주시,서원동물병원,제주특별자치도 제주시 일주동로 38 (화북이동),2008-10-27,2024-02-27
제주시,송동물병원,제주특별자치도 제주시 일주동로 185 (화북일동),2001-07-09,2024-02-27
제주시,수동물병원,제주특별자치도 제주시 서사로 91-1 (삼도일동),2014-06-09,2024-02-27
제주시,신제주동물병원,제주특별자치도 제주시 과원북4길 7 (노형동),1995-12-13,2024-02-27
제주시,씨엔에프 팜테크,제주특별자치도 제주시 일주서로 7800 (연동),2018-10-16,2024-02-27
제주시,아라동물병원,제주특별자치도 제주시 중앙로 581 (아라일동),2015-01-28,2024-02-27
제주시,예서동물병원,제주특별자치도 제주시 수덕로 13 (노형동 노형이화2차아파트),2013-01-02,2024-02-27
제주시,우리동물병원(산업),제주특별자치도 제주시 한림읍 산록남로 53 성이시돌피정의집,2002-01-28,2024-02-27
제주시,우정동물병원,제주특별자치도 제주시 한림읍 귀덕남동1길 2,2018-11-21,2024-02-27
제주시,웰니스 동물병원,제주특별자치도 제주시 도령로 136 진빌딩 (연동),2015-11-26,2024-02-27
제주시,웰빙동물병원,제주특별자치도 제주시 애월읍 광령남4길 14 2층,2008-11-12,2024-02-27
제주시,유성동물병원,제주특별자치도 제주시 한림읍 한림중앙로 212,2006-07-20,2024-02-27
제주시,으뜸동물병원,제주특별자치도 제주시 동문로 29 3층 (일도일동),2021-08-18,2024-02-27
제주시,이루다 동물병원,제주특별자치도 제주시 건주로3길 19 준영빌딩 1층 101호 (도련일동),2019-11-07,2024-02-27
제주시,이룸동물병원,제주특별자치도 제주시 월광로 51 이룸동물병원 (노형동),2020-08-04,2024-02-27
제주시,이소영동물병원,제주특별자치도 제주시 연삼로 518 (일도이동),1999-07-12,2024-02-27
제주시,이스턴동물병원,제주특별자치도 제주시 연삼로 522 (일도이동),2016-08-31,2024-02-27
제주시,이의종동물병원,제주특별자치도 제주시 한림읍 한림로12길 19,1979-11-28,2024-02-27
제주시,이호동물병원,제주특별자치도 제주시 한림읍 금악북로 257,2006-01-31,2024-02-27
제주시,제마동물병원,제주특별자치도 제주시 조천읍 비자림로 702-57 1층,2022-03-14,2024-02-27
제주시,제일동물병원,제주특별자치도 제주시 한림읍 금악로 25,2003-09-09,2024-02-27
제주시,제주 키움 동물병원,제주특별자치도 제주시 중앙로 273 나라키움 1층 106호 (이도이동),2019-05-28,2024-02-27
제주시,제주 현 동물병원,제주특별자치도 제주시 조천읍 신촌3길 15-4,2020-02-26,2024-02-27
제주시,제주대학교 말전문동물병원,제주특별자치도 제주시 산천단남길 42 (아라일동),2017-12-15,2024-02-27
제주시,제주대학교 수의과대학 부설동물병원,제주특별자치도 제주시 제주대학로 102 제주대학교 (아라일동),1995-10-20,2024-02-27
제주시,제주대학교 야생동물구조센터,제주특별자치도 제주시 516로 2946 야생동물구조관리센타 (아라일동),2010-12-10,2024-02-27
제주시,제주동물메디컬센터,제주특별자치도 제주시 아봉로 503-1 나동 (용강동),2013-04-19,2024-02-27
제주시,제주동물병원,제주특별자치도 제주시 애월읍 하귀동남1길 2-5,2015-09-25,2024-02-27
제주시,제주양돈농협 동물병원,제주특별자치도 제주시 한림읍 한림상로 127-2 지층,2013-05-09,2024-02-27
제주시,제주오름동물병원,제주특별자치도 제주시 월산남길 131 (노형동),2019-01-28,2024-02-27
제주시,제주온동물병원,제주특별자치도 제주시 신대로 136 102호 (연동 코스모스태홍누리안5차아파트),2021-07-21,2024-02-27
제주시,제주우리동물병원,제주특별자치도 제주시 구좌읍 충렬로 12 1층,2022-05-18,2024-02-27
제주시,제주축산업협동조합 동물병원,제주특별자치도 제주시 동문로 41 (일도일동),2003-03-31,2024-02-27
제주시,제주특별자치도 동물위생시험소(동물보호센터) 동물병원,제주특별자치도 제주시 첨단동길 184-14 (용강동),2018-04-16,2024-02-27
제주시,제주피그클리닉,제주특별자치도 제주시 한림읍 한림로 580,2018-12-29,2024-02-27
제주시,준마동물병원,제주특별자치도 제주시 애월읍 광령자종길 16 2층,2020-12-14,2024-02-27
제주시,중앙동물병원,제주특별자치도 제주시 성신로 15 (연동),2002-05-03,2024-02-27
제주시,지성동물병원,제주특별자치도 제주시 한림읍 금악로 39 1층,2015-08-31,2024-02-27
제주시,찬`s 동물병원,제주특별자치도 제주시 신광로 105 103 104호 (연동),2014-12-03,2024-02-27
제주시,크라운 동물병원,제주특별자치도 제주시 애월읍 유수암평화5길 34-24 1층,2020-12-07,2024-02-27
제주시,태흥동물병원,제주특별자치도 제주시 연북로 681 (이도이동),2007-04-04,2024-02-27
제주시,튼튼동물병원,제주특별자치도 제주시 중앙로 351 1층 (이도이동),2014-01-14,2024-02-27
제주시,팜앤팜동물병원,제주특별자치도 제주시 한림읍 동명남길 6 2층,2015-06-09,2024-02-27
제주시,퐁낭동물병원,제주특별자치도 제주시 오남로 355 2층 (오라이동),2011-08-08,2024-02-27
제주시,푸른동물병원,제주특별자치도 제주시 서광로 293 태안빌딩 (이도일동),1994-06-21,2024-02-27
제주시,피그랑동물병원,제주특별자치도 제주시 해안마을8길 1 1층 (해안동),2018-06-15,2024-02-27
제주시,한국마사회 제주육성목장 동물병원,제주특별자치도 제주시 조천읍 남조로 1660 (한국마사회 제주육성목장),2008-10-08,2024-02-27
제주시,한라동물의료센터,제주특별자치도 제주시 남광로 20 1층 (이도이동),2020-02-28,2024-02-27
제주시,한라동물종합병원,제주특별자치도 제주시 고마로 37 (일도이동),1992-03-10,2024-02-27
제주시,한림동물병원,제주특별자치도 제주시 한림읍 한림상로 114 1층,2021-09-29,2024-02-27
제주시,한밭동물병원,제주특별자치도 제주시 해안마을길 166 (해안동),2014-01-29,2024-02-27
제주시,한빛동물병원,제주특별자치도 제주시 한경면 청수로 129 1층,2016-01-13,2024-02-27
제주시,한사랑 동물병원,제주특별자치도 제주시 인다10길 31 (아라일동),2016-05-27,2024-02-27
제주시,한서동물병원,제주특별자치도 제주시 아봉로 759 (봉개동),2005-08-30,2024-02-27
제주시,한수풀동물병원,제주특별자치도 제주시 한림읍 한림로 655 1층,2008-06-04,2024-02-27
제주시,해맑은동물병원,제주특별자치도 제주시 한라대학로 75 (노형동),2003-06-13,2024-02-27
제주시,해밀동물병원,제주특별자치도 제주시 연신로 85 (이도이동),1999-04-27,2024-02-27
제주시,해올동물병원,제주특별자치도 제주시 조천읍 비자림로 685-8 1층,2021-01-07,2024-02-27
제주시,행복한동물병원,제주특별자치도 제주시 연삼로 128 3층 (오라삼동),2005-06-20,2024-02-27
제주시,현동물병원,제주특별자치도 제주시 한림읍 금악로1길 2,2011-01-03,2024-02-27
제주시,호크마 동물병원,제주특별자치도 제주시 동제원길 80 (화북일동),2017-03-23,2024-02-27
제주시,제주자연동물병원,제주특별자치도 제주시 구좌읍 해맞이해안로 1076-1,2005-02-02,2024-02-27
제주시,아라i동물병원,제주특별자치도 제주시 인다6길 45 101호,2023-04-18,2024-02-27
제주시,힘찬동물메디컬센터,제주특별자치도 제주시 연북로 556 1층,2023-04-18,2024-02-27
서귀포시,가람동물병원,제주특별자치도 서귀포시 대정읍 최남단해안로29번길 22,2005-09-07,2024-02-27
서귀포시,남원동물병원,제주특별자치도 서귀포시 남원읍 태위로 687,2020-02-20,2024-02-27
서귀포시,다산동물병원,제주특별자치도 서귀포시 표선면 일주동로6496번길 2,2012-04-10,2024-02-27
서귀포시,동물병원도담도담,제주특별자치도 서귀포시 남원읍 태위로723번길 31-11,2018-09-17,2024-02-27
서귀포시,동아동물병원,제주특별자치도 서귀포시 성산읍 서성일로 1241,1996-04-27,2024-02-27
서귀포시,미듬동물병원,제주특별자치도 서귀포시 대정읍 하모중앙로 32 서귀포시축협대정지소,2018-08-13,2024-02-27
서귀포시,서귀포시축협동물병원,제주특별자치도 서귀포시 일주동로 8532 (동홍동),2015-10-01,2024-02-27
서귀포시,서울동물병원,제주특별자치도 서귀포시 동문로 29 (서귀동),1994-07-01,2024-02-27
서귀포시,표선동물병원,제주특별자치도 서귀포시 표선면 번영로 3510,2020-03-17,2024-02-27
서귀포시,이도씨 동물의료센터,제주특별자치도 서귀포시 신서귀로97번길 51 2층 (강정동),2020-08-13,2024-02-27
서귀포시,정든동물병원,제주특별자치도 서귀포시 일주동로 9117 (법환동),2016-04-06,2024-02-27
서귀포시,정직한 동물병원,제주특별자치도 서귀포시 대정읍 글로벌에듀로 370 이노에듀파크 117 118호,2020-06-03,2024-02-27
서귀포시,조은동물병원,제주특별자치도 서귀포시 동문로 40 태흥장식 (서귀동),2001-03-16,2024-02-27
서귀포시,중문동물병원,제주특별자치도 서귀포시 천제연로 265 (중문동),2019-12-26,2024-02-27
서귀포시,캣츠앤독스 동물병원,제주특별자치도 서귀포시 일주동로 8621 (동홍동),2016-12-27,2024-02-27
서귀포시,케어팜동물병원,제주특별자치도 서귀포시 안덕면 사계북로 17-16,2016-12-07,2024-02-27
서귀포시,대정동물병원,제주특별자치도 서귀포시 대정읍 일주서로 2535 2층,2020-07-07,2024-02-27
서귀포시,표선가축병원,제주특별자치도 서귀포시 표선면 표선관정로 113-5,1975-05-16,2024-02-27
서귀포시,현대동물병원,제주특별자치도 서귀포시 동홍로90번길 2 현대동물병원 (동홍동),1995-05-31,2024-02-27
서귀포시,현클리닉,제주특별자치도 서귀포시 하신상로 174-12 (신효동),2016-11-10,2024-02-27
